,distance,itemWeight,itemPackage,taxAmount,totalAmount,tripFeeAmount,vehicleGroupName,originAddress,originCity,destinationAddress,destinationCity,deliveryDetailStatus,Menuju Pengiriman,Tiba Di Pengiriman,diff
0,21.1,18.0,Bags,0.0,1100000.0,1100000.0,Tronton Wingbox,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T12:08:34.026Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T12:08:04.865Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-17T05:34:32.254Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-17T05:33:51.314Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""8"", ""date"": ""2020-10-27T10:32:27.013Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9847715, ""longitude"": 106.0309908}, {""code"": ""7"", ""date"": ""2020-10-27T10:32:14.015Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.984796, ""longitude"": 106.0309944}, {""code"": ""6"", ""date"": ""2020-10-27T10:32:03.386Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9847983, ""longitude"": 106.0310027}, {""code"": ""5"", ""date"": ""2020-10-27T10:31:46.576Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9847056, ""longitude"": 106.0309927}, {""code"": ""4"", ""date"": ""2020-10-27T10:31:40.572Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9847281, ""longitude"": 106.0309944}, {""code"": ""3"", ""date"": ""2020-10-27T10:31:35.288Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846437, ""longitude"": 106.0309292}, {""code"": ""6"", ""date"": ""2020-10-27T10:30:03.272Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846481, ""longitude"": 106.0309767}, {""code"": ""5"", ""date"": ""2020-10-27T10:29:47.614Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846416, ""longitude"": 106.0309708}, {""code"": ""4"", ""date"": ""2020-10-27T10:29:42.367Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9846454, ""longitude"": 106.030968}, {""code"": ""3"", ""date"": ""2020-10-27T10:29:34.609Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846494, ""longitude"": 106.030973}, {""code"": ""2"", ""date"": ""2020-10-27T10:28:59.533Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846494, ""longitude"": 106.030973}, {""code"": ""1"", ""date"": ""2020-10-27T10:24:18.614Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-10-27 10:32:03.386,2020-10-27 10:32:14.015,0.002777777777777778
1,21.1,18.0,Bags,0.0,1100000.0,1100000.0,Tronton Wingbox,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T12:08:34.026Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T12:08:04.865Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-17T05:34:32.254Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-17T05:33:51.314Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""8"", ""date"": ""2020-10-27T10:32:27.013Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9847715, ""longitude"": 106.0309908}, {""code"": ""7"", ""date"": ""2020-10-27T10:32:14.015Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.984796, ""longitude"": 106.0309944}, {""code"": ""6"", ""date"": ""2020-10-27T10:32:03.386Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9847983, ""longitude"": 106.0310027}, {""code"": ""5"", ""date"": ""2020-10-27T10:31:46.576Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9847056, ""longitude"": 106.0309927}, {""code"": ""4"", ""date"": ""2020-10-27T10:31:40.572Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9847281, ""longitude"": 106.0309944}, {""code"": ""3"", ""date"": ""2020-10-27T10:31:35.288Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846437, ""longitude"": 106.0309292}, {""code"": ""6"", ""date"": ""2020-10-27T10:30:03.272Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846481, ""longitude"": 106.0309767}, {""code"": ""5"", ""date"": ""2020-10-27T10:29:47.614Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846416, ""longitude"": 106.0309708}, {""code"": ""4"", ""date"": ""2020-10-27T10:29:42.367Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9846454, ""longitude"": 106.030968}, {""code"": ""3"", ""date"": ""2020-10-27T10:29:34.609Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846494, ""longitude"": 106.030973}, {""code"": ""2"", ""date"": ""2020-10-27T10:28:59.533Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846494, ""longitude"": 106.030973}, {""code"": ""1"", ""date"": ""2020-10-27T10:24:18.614Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-10-27 10:32:03.386,2020-10-27 10:32:14.015,0.002777777777777778
2,21.1,5.0,Bags,0.0,1500000.0,1500000.0,CDD Box,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T11:05:47.273Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T11:05:25.085Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-09T08:46:37.721Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-09T08:46:27.709Z"", ""name"": ""Muatan Diterima"", ""latitude"": -5.9846542, ""longitude"": 106.0309717}, {""code"": ""8"", ""date"": ""2020-11-09T08:45:33.860Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9846483, ""longitude"": 106.0309721}, {""code"": ""7"", ""date"": ""2020-11-09T08:45:24.671Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.9846533, ""longitude"": 106.0309731}, {""code"": ""6"", ""date"": ""2020-11-09T08:45:05.856Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846543, ""longitude"": 106.0309755}, {""code"": ""5"", ""date"": ""2020-11-09T08:44:41.093Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846502, ""longitude"": 106.0309711}, {""code"": ""4"", ""date"": ""2020-11-09T08:44:14.305Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9846528, ""longitude"": 106.0309737}, {""code"": ""3"", ""date"": ""2020-11-09T08:43:55.906Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846541, ""longitude"": 106.0309726}, {""code"": ""2"", ""date"": ""2020-11-09T08:43:25.071Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846541, ""longitude"": 106.0309726}, {""code"": ""1"", ""date"": ""2020-11-09T08:28:00.444Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-09 08:45:05.856,2020-11-09 08:45:24.671,0.005
3,21.1,5.0,Bags,0.0,1500000.0,1500000.0,CDD Box,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T11:05:47.273Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T11:05:25.085Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-09T08:46:37.721Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-09T08:46:27.709Z"", ""name"": ""Muatan Diterima"", ""latitude"": -5.9846542, ""longitude"": 106.0309717}, {""code"": ""8"", ""date"": ""2020-11-09T08:45:33.860Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9846483, ""longitude"": 106.0309721}, {""code"": ""7"", ""date"": ""2020-11-09T08:45:24.671Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.9846533, ""longitude"": 106.0309731}, {""code"": ""6"", ""date"": ""2020-11-09T08:45:05.856Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846543, ""longitude"": 106.0309755}, {""code"": ""5"", ""date"": ""2020-11-09T08:44:41.093Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846502, ""longitude"": 106.0309711}, {""code"": ""4"", ""date"": ""2020-11-09T08:44:14.305Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9846528, ""longitude"": 106.0309737}, {""code"": ""3"", ""date"": ""2020-11-09T08:43:55.906Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846541, ""longitude"": 106.0309726}, {""code"": ""2"", ""date"": ""2020-11-09T08:43:25.071Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846541, ""longitude"": 106.0309726}, {""code"": ""1"", ""date"": ""2020-11-09T08:28:00.444Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-09 08:45:05.856,2020-11-09 08:45:24.671,0.005
4,21.1,5.0,Bags,0.0,2000000.0,2000000.0,CDD Box,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T11:02:18.020Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T11:01:32.405Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-16T08:10:36.536Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T08:10:27.259Z"", ""name"": ""Muatan Diterima"", ""latitude"": -5.9846504, ""longitude"": 106.0309726}, {""code"": ""8"", ""date"": ""2020-11-16T08:09:49.983Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9846573, ""longitude"": 106.0309768}, {""code"": ""7"", ""date"": ""2020-11-16T08:09:41.201Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.984658, ""longitude"": 106.0309772}, {""code"": ""6"", ""date"": ""2020-11-16T08:09:31.833Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846493, ""longitude"": 106.0309722}, {""code"": ""5"", ""date"": ""2020-11-16T08:09:07.769Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846493, ""longitude"": 106.0309722}, {""code"": ""4"", ""date"": ""2020-11-16T08:09:01.088Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9846493, ""longitude"": 106.0309722}, {""code"": ""3"", ""date"": ""2020-11-16T08:08:53.861Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846493, ""longitude"": 106.0309715}, {""code"": ""2"", ""date"": ""2020-11-09T10:26:11.514Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846493, ""longitude"": 106.0309715}, {""code"": ""1"", ""date"": ""2020-11-09T10:24:41.038Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-16 08:09:31.833,2020-11-16 08:09:41.201,0.0025
5,21.1,5.0,Bags,0.0,2000000.0,2000000.0,CDD Box,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T11:02:18.020Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T11:01:32.405Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-16T08:10:36.536Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T08:10:27.259Z"", ""name"": ""Muatan Diterima"", ""latitude"": -5.9846504, ""longitude"": 106.0309726}, {""code"": ""8"", ""date"": ""2020-11-16T08:09:49.983Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9846573, ""longitude"": 106.0309768}, {""code"": ""7"", ""date"": ""2020-11-16T08:09:41.201Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.984658, ""longitude"": 106.0309772}, {""code"": ""6"", ""date"": ""2020-11-16T08:09:31.833Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846493, ""longitude"": 106.0309722}, {""code"": ""5"", ""date"": ""2020-11-16T08:09:07.769Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846493, ""longitude"": 106.0309722}, {""code"": ""4"", ""date"": ""2020-11-16T08:09:01.088Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.9846493, ""longitude"": 106.0309722}, {""code"": ""3"", ""date"": ""2020-11-16T08:08:53.861Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846493, ""longitude"": 106.0309715}, {""code"": ""2"", ""date"": ""2020-11-09T10:26:11.514Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846493, ""longitude"": 106.0309715}, {""code"": ""1"", ""date"": ""2020-11-09T10:24:41.038Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-16 08:09:31.833,2020-11-16 08:09:41.201,0.0025
6,21.1,8.0,Bags,0.0,1500000.0,1500000.0,CDD Box,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T11:00:23.895Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T10:59:59.247Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-16T09:01:34.049Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T09:01:24.554Z"", ""name"": ""Muatan Diterima"", ""latitude"": -5.9846578, ""longitude"": 106.0309769}, {""code"": ""8"", ""date"": ""2020-11-16T09:00:52.232Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9846592, ""longitude"": 106.0309745}, {""code"": ""7"", ""date"": ""2020-11-16T09:00:45.614Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.9846494, ""longitude"": 106.0309726}, {""code"": ""6"", ""date"": ""2020-11-16T09:00:36.988Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846421, ""longitude"": 106.030967}, {""code"": ""5"", ""date"": ""2020-11-16T09:00:18.557Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846035, ""longitude"": 106.0309358}, {""code"": ""4"", ""date"": ""2020-11-16T09:00:12.444Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.984649, ""longitude"": 106.0309726}, {""code"": ""3"", ""date"": ""2020-11-16T09:00:07.499Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846492, ""longitude"": 106.03097}, {""code"": ""2"", ""date"": ""2020-11-16T08:58:57.532Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846492, ""longitude"": 106.03097}, {""code"": ""1"", ""date"": ""2020-11-16T08:57:53.805Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-16 09:00:36.988,2020-11-16 09:00:45.614,0.0022222222222222222
7,21.1,8.0,Bags,0.0,1500000.0,1500000.0,CDD Box,"Jl. Raya Merak KM. 116, Gerem,, Grogol, Kec. Purwakarta, Kota Cilegon, Banten 42438, Indonesia",Cilegon,"Jl. Raya Bojonegara, Bojonegara, Cilegon, Serang, Banten 42454, Indonesia",Serang,"[{""code"": ""10"", ""date"": ""2020-12-29T11:00:23.895Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-12-29T10:59:59.247Z"", ""name"": ""Muatan Diterima"", ""latitude"": 0, ""longitude"": 0}, {""code"": ""10"", ""date"": ""2020-11-16T09:01:34.049Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T09:01:24.554Z"", ""name"": ""Muatan Diterima"", ""latitude"": -5.9846578, ""longitude"": 106.0309769}, {""code"": ""8"", ""date"": ""2020-11-16T09:00:52.232Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -5.9846592, ""longitude"": 106.0309745}, {""code"": ""7"", ""date"": ""2020-11-16T09:00:45.614Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -5.9846494, ""longitude"": 106.0309726}, {""code"": ""6"", ""date"": ""2020-11-16T09:00:36.988Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -5.9846421, ""longitude"": 106.030967}, {""code"": ""5"", ""date"": ""2020-11-16T09:00:18.557Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -5.9846035, ""longitude"": 106.0309358}, {""code"": ""4"", ""date"": ""2020-11-16T09:00:12.444Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -5.984649, ""longitude"": 106.0309726}, {""code"": ""3"", ""date"": ""2020-11-16T09:00:07.499Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -5.9846492, ""longitude"": 106.03097}, {""code"": ""2"", ""date"": ""2020-11-16T08:58:57.532Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -5.9846492, ""longitude"": 106.03097}, {""code"": ""1"", ""date"": ""2020-11-16T08:57:53.805Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-16 09:00:36.988,2020-11-16 09:00:45.614,0.0022222222222222222
8,66.6,32.0,Palet,0.0,1750000.0,1750000.0,Trailer Dry Container 40 Feet,"Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Jakarta Utara,"Kec. Cikarang Tim., Bekasi, Jawa Barat, Indonesia",Bekasi,"[{""code"": ""10"", ""date"": ""2020-11-16T12:38:26.815Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T12:38:17.859Z"", ""name"": ""Muatan Diterima"", ""latitude"": -6.1176092, ""longitude"": 106.892678}, {""code"": ""8"", ""date"": ""2020-11-16T12:37:46.356Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -6.118108, ""longitude"": 106.8929792}, {""code"": ""7"", ""date"": ""2020-11-16T12:37:35.884Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -6.11791, ""longitude"": 106.8928611}, {""code"": ""6"", ""date"": ""2020-11-16T12:37:28.143Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -6.117608, ""longitude"": 106.8926821}, {""code"": ""5"", ""date"": ""2020-11-16T12:37:14.007Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -6.1176045, ""longitude"": 106.8926803}, {""code"": ""4"", ""date"": ""2020-11-16T12:37:10.752Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -6.1176045, ""longitude"": 106.8926803}, {""code"": ""3"", ""date"": ""2020-11-16T12:37:05.958Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -6.1176031, ""longitude"": 106.8926823}, {""code"": ""10"", ""date"": ""2020-11-16T12:36:43.937Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T12:36:34.937Z"", ""name"": ""Muatan Diterima"", ""latitude"": -6.1176053, ""longitude"": 106.8926797}, {""code"": ""8"", ""date"": ""2020-11-16T12:35:37.778Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -6.1176046, ""longitude"": 106.892672}, {""code"": ""7"", ""date"": ""2020-11-16T12:35:31.228Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -6.1176016, ""longitude"": 106.8926842}, {""code"": ""6"", ""date"": ""2020-11-16T12:35:21.714Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -6.1176015, ""longitude"": 106.8926845}, {""code"": ""5"", ""date"": ""2020-11-16T12:35:02.138Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -6.1176079, ""longitude"": 106.8926821}, {""code"": ""4"", ""date"": ""2020-11-16T12:34:56.835Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -6.1176064, ""longitude"": 106.8926841}, {""code"": ""3"", ""date"": ""2020-11-16T12:34:52.719Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -6.1176037, ""longitude"": 106.8926826}, {""code"": ""2"", ""date"": ""2020-11-16T11:28:30.630Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -6.1176028, ""longitude"": 106.8926785}, {""code"": ""1"", ""date"": ""2020-11-16T11:22:21.377Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-16 12:37:28.143,2020-11-16 12:37:35.884,0.0019444444444444444
9,66.6,32.0,Palet,0.0,1750000.0,1750000.0,Trailer Dry Container 40 Feet,"Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta, Indonesia",Jakarta Utara,"Kec. Cikarang Tim., Bekasi, Jawa Barat, Indonesia",Bekasi,"[{""code"": ""10"", ""date"": ""2020-11-16T12:38:26.815Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T12:38:17.859Z"", ""name"": ""Muatan Diterima"", ""latitude"": -6.1176092, ""longitude"": 106.892678}, {""code"": ""8"", ""date"": ""2020-11-16T12:37:46.356Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -6.118108, ""longitude"": 106.8929792}, {""code"": ""7"", ""date"": ""2020-11-16T12:37:35.884Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -6.11791, ""longitude"": 106.8928611}, {""code"": ""6"", ""date"": ""2020-11-16T12:37:28.143Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -6.117608, ""longitude"": 106.8926821}, {""code"": ""5"", ""date"": ""2020-11-16T12:37:14.007Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -6.1176045, ""longitude"": 106.8926803}, {""code"": ""4"", ""date"": ""2020-11-16T12:37:10.752Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -6.1176045, ""longitude"": 106.8926803}, {""code"": ""3"", ""date"": ""2020-11-16T12:37:05.958Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -6.1176031, ""longitude"": 106.8926823}, {""code"": ""10"", ""date"": ""2020-11-16T12:36:43.937Z"", ""name"": ""Pesanan Selesai""}, {""code"": ""9"", ""date"": ""2020-11-16T12:36:34.937Z"", ""name"": ""Muatan Diterima"", ""latitude"": -6.1176053, ""longitude"": 106.8926797}, {""code"": ""8"", ""date"": ""2020-11-16T12:35:37.778Z"", ""name"": ""Bongkar Muatan"", ""latitude"": -6.1176046, ""longitude"": 106.892672}, {""code"": ""7"", ""date"": ""2020-11-16T12:35:31.228Z"", ""name"": ""Tiba Di Pengiriman"", ""latitude"": -6.1176016, ""longitude"": 106.8926842}, {""code"": ""6"", ""date"": ""2020-11-16T12:35:21.714Z"", ""name"": ""Menuju Pengiriman"", ""latitude"": -6.1176015, ""longitude"": 106.8926845}, {""code"": ""5"", ""date"": ""2020-11-16T12:35:02.138Z"", ""name"": ""Mengangkut Muatan"", ""latitude"": -6.1176079, ""longitude"": 106.8926821}, {""code"": ""4"", ""date"": ""2020-11-16T12:34:56.835Z"", ""name"": ""Tiba Di Pengambilan"", ""latitude"": -6.1176064, ""longitude"": 106.8926841}, {""code"": ""3"", ""date"": ""2020-11-16T12:34:52.719Z"", ""name"": ""Menuju Pengambilan"", ""latitude"": -6.1176037, ""longitude"": 106.8926826}, {""code"": ""2"", ""date"": ""2020-11-16T11:28:30.630Z"", ""name"": ""Pesanan Terkonfirmasi"", ""latitude"": -6.1176028, ""longitude"": 106.8926785}, {""code"": ""1"", ""date"": ""2020-11-16T11:22:21.377Z"", ""name"": ""Menunggu Konfirmasi""}]",2020-11-16 12:37:28.143,2020-11-16 12:37:35.884,0.0019444444444444444
